"V1","V2"
33.162357,5.732334
33.162357,5.732334
33.162357,5.732334
33.162357,5.732334
0,0
33.162697,5.7329274
33.162697,5.7329274
33.162697,5.7329274
33.161503,5.7321199
33.161503,5.7321199
33.161503,5.7321199
33.161503,5.7321199
33.161503,5.7321199
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.161503,5.7321199
33.162697,5.7329274
33.162697,5.7329274
33.161503,5.7321199
33.101673,5.5489321
33.161503,5.7321199
33.161503,5.7321199
33.161335,5.7264062
33.161335,5.7264062
33.101673,5.5489321
33.161335,5.7264062
33.161335,5.7264062
33.161335,5.7264062
33.101673,5.5489321
33.161503,5.7321199
33.161503,5.7321199
33.161503,5.7321199
33.161503,5.7321199
33.162697,5.7329274
33.162697,5.7329274
33.21119,5.728779
33.211155,5.7287212
33.211155,5.7287212
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.211155,5.7287212
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.211155,5.7287212
33.211155,5.7287212
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.211155,5.7287212
33.211155,5.7287212
33.21119,5.728779
33.211155,5.7287212
33.211155,5.7287212
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.21119,5.728779
33.211155,5.7287212
33.211155,5.7287212
33.211155,5.7287212
32.87258,5.9644855
32.882614,5.9614752
32.882614,5.9614752
32.882614,5.9614752
32.87258,5.9644855
32.882614,5.9614752
32.877224,5.9591547
32.87258,5.9644855
32.882614,5.9614752
32.87258,5.9644855
32.882614,5.9614752
32.882614,5.9614752
32.87258,5.9644855
32.882614,5.9614752
32.87258,5.9644855
32.87258,5.9644855
32.882614,5.9614752
32.87258,5.9644855
32.87258,5.9644855
33.373055,5.7018562
33.373055,5.7018562
33.373055,5.7018562
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.373055,5.7018562
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.22403,5.7839833
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.21118,5.7287083
33.373055,5.7018562
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.161335,5.7264062
33.161335,5.7264062
33.161335,5.7264062
33.161335,5.7264062
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.101673,5.5489321
33.373055,5.7018562
33.373055,5.7018562
33.373055,5.7018562
33.373055,5.7018562
32.876324,5.9593003
32.876324,5.9593003
32.87636,5.9592896
32.87637,5.9559558
32.87636,5.9592896
32.876324,5.9593003
32.87637,5.9559558
32.87637,5.9559558
32.87637,5.9559558
32.87637,5.9559558
32.87636,5.9592896
32.87637,5.9559558
32.87637,5.9559558
32.87636,5.9592896
32.87637,5.9559558
32.87636,5.9592896
32.87636,5.9592896
32.876324,5.9593003
32.876324,5.9593003
32.87637,5.9559558
32.87637,5.9559558
32.876324,5.9593003
32.876324,5.9593003
32.876324,5.9593003
32.87637,5.9559558
32.876324,5.9593003
32.876324,5.9593003
32.876324,5.9593003
32.87636,5.9592896
33.228416,5.7827664
33.164364,5.7061713
33.14116,5.6974664
33.14116,5.6974664
33.14116,5.6974664
33.161495,5.7316163
32.87258,5.9644855
32.87258,5.9644855
33.14116,5.6974664
32.87258,5.9644855
32.876377,5.959261
32.876377,5.959261
32.876377,5.959261
32.87258,5.9644855
33.14116,5.6974664
33.14116,5.6974664
33.14116,5.6974664
32.876377,5.959261
32.876377,5.959261
32.87258,5.9644855
33.14116,5.6974664
32.87258,5.9644855
32.87258,5.9644855
32.87258,5.9644855
32.87258,5.9644855
33.15889,5.7231403
33.170895,5.7144015
33.170895,5.7144015
